label,Book Id,Length,Date,ext,value
1328MuhammadJawadBalaghi.HudaIlaDinMustafa,Shia004552Vols,179381,1328,-ara1,Shia004552Vols-ara1
1328MuhammadJawadBalaghi.RaddCalaWahhabiyya,Shia004523,13696,1328,-ara1,Shia004523-ara1
1328MuhammadJawadBalaghi.RihlaMadrasiyya,Shia004549Vols,131936,1328,-ara1,Shia004549Vols-ara1
1328MuhammadJawadBalaghi.TawhidWaTathlith,Shia004548,13358,1328,-ara1,Shia004548-ara1
1329AkhundMullaAbuTalibAraki.SharhNajatCibad,Shia000401Vols,147576,1329,-ara1,Shia000401Vols-ara1
1329MuhammadAshrafCazimabadi.CawmMacbud,ShamAY0033531,1474188,1329,-ara1,ShamAY0033531-ara1
1329MuhammadKazimAkhundKhurasani.HashiyatMakasib,Shia000400,76779,1329,-ara1,Shia000400-ara1
1329MuhammadKazimAkhundKhurasani.KifayatUsul,Shia002773,112268,1329,-ara1,Shia002773-ara1
1329MuhammadKazimAkhundKhurasani.LamacatNayyira,Shia000399,78250,1329,-ara1,Shia000399-ara1
1329MuhammadKazimAkhundKhurasani.NihayatNihaya,Shia002774Vols,182157,1329,-ara1,Shia002774Vols-ara1
1330IbnMuhammadJazairiDimashqi.NadratBahar,Shamela0037633,3828,1330,-ara1,Shamela0037633-ara1
1330IbnMusaTabrizi.MiratKutub,Shia003359,79923,1330,-ara1,Shia003359-ara1
1330MuhammadYahyaWalati.IsalSalik,ShamAY0037499,9305,1330,-ara1,ShamAY0037499-ara1
1331IbnAminShinqiti.WasitFiTarajim,Shamela0095696,108414,1331,-ara1.completed,Shamela0095696-ara1.completed
1331IbnAmirCabdQadirJazairi.NukhbatCiqd,Shamela0009752,49104,1331,-ara1,Shamela0009752-ara1
1332HassunBuraqi.TarikhKufa,Shia003633,157702,1332,-ara1.completed,Shia003633-ara1.completed
1332IbnMuhammadJamalDinQasimi.IslahMasajid,Shamela0010541,62701,1332,-ara1,Shamela0010541-ara1
1332IbnMuhammadJamalDinQasimi.JarhWaTacdil,Shamela0036616,8124,1332,-ara1,Shamela0036616-ara1
1332IbnMuhammadJamalDinQasimi.MahasinTawil,Shamela0023631,1437000,1332,-ara1,Shamela0023631-ara1
